symbol,instrument_token
ABB,3329
ADANIENT,6401
APOLLOHOSP,40193
ASHOKLEY,54273
IEX,56321
ASIANPAINT,60417
AUROPHARMA,70401
TIINDIA,79873
BAJFINANCE,81153
ANGELONE,82945
CAMS,87553
BEL,98049
BHARATFORG,108033
BHEL,112129
HDFCLIFE,119553
MAZDOCK,130305
BPCL,134657
BRITANNIA,140033
EXIDEIND,173057
CHOLAFIN,175361
CIPLA,177665
CGPOWER,194561
DABUR,197633
DRREDDY,225537
EICHERMOT,232961
FEDERALBNK,261889
AMBER,303361
GRASIM,315393
AMBUJACEM,325121
HDFCBANK,341249
HEROMOTOCO,345089
HINDALCO,348929
HINDUNILVR,356865
HINDPETRO,359937
HINDZINC,364545
INDHOTEL,387073
INFY,408065
IOC,415745
ITC,424961
CUMMINSIND,486657
KOTAKBANK,492033
TRENT,502785
LICHSGFIN,511233
IRFC,519425
M&M,519937
MFSL,548353
BDL,548865
BOSCHLTD,558337
BANDHANBNK,579329
HAL,589569
NCC,593665
ONGC,633601
PIDILITIND,681985
RELIANCE,738561
KALYANKJIL,756481
SAIL,758529
SBIN,779521
VEDL,784129
SHREECEM,794369
SIEMENS,806401
LODHA,824321
SRF,837889
SUNPHARMA,857857
SUPREMEIND,860929
TATAELXSI,873217
TATAPOWER,877057
TATACONSUM,878593
TATAMOTORS,884737
TATASTEEL,895745
TITAN,897537
TORNTPHARM,900609
ADANIGREEN,912129
VOLTAS,951809
WIPRO,969473
MARICO,1041153
MOTHERSON,1076225
HDFCAMC,1086465
SHRIRAMFIN,1102337
MPHASIS,1152769
BANKBARODA,1195009
SONACOMS,1199105
GAIL,1207553
BANKINDIA,1214721
CONCOR,1215745
ICICIBANK,1270529
ETERNAL,1304833
INDUSINDBK,1346049
CYIENT,1471489
AXISBANK,1510401
NATIONALUM,1629185
NYKAA,1675521
POLICYBZR,1703937
PAYTM,1716481
JINDALSTEL,1723649
HCLTECH,1850625
GLENMARK,1895937
INOXWIND,2010113
ZYDUSLIFE,2029825
DALBHARAT,2067201
BLUESTARCO,2127617
TVSMOTOR,2170625
LICI,2426881
RVNL,2445313
POLYCAB,2455041
DELHIVERY,2457345
KPITTECH,2478849
HAVELLS,2513665
GODREJCP,2585345
ADANIENSOL,2615553
SYNGENE,2622209
LUPIN,2672641
UNITDSPR,2674433
BHARTIARTL,2714625
PNB,2730497
OFSS,2748929
UNIONBANK,2752769
CANBK,2763265
DIVISLAB,2800641
MARUTI,2815745
IDFCFIRSTB,2863105
INDIGO,2865921
IGL,2883073
UPL,2889473
PETRONET,2905857
BIOCON,2911489
LT,2939649
ULTRACEMCO,2952193
TCS,2953217
COFORGE,2955009
PPLPHARMA,2962177
NTPC,2977281
ALKEM,2995969
JSWSTEEL,3001089
IIFL,3023105
YESBANK,3050241
SUZLON,3076609
KAYNES,3095553
360ONE,3343617
KEI,3407361
SOLARINDS,3412993
KFINTECH,3419905
GMRAIRPORT,3463169
TECHM,3465729
IRCTC,3484417
NAUKRI,3520257
TORNTPOWER,3529217
UNOMINDA,3623425
PFC,3660545
INDIANB,3663105
IDEA,3677697
PAGEIND,3689729
ASTRAL,3691009
PHOENIXLTD,3725313
FORTIS,3735553
DLF,3771393
POWERGRID,3834113
ADANIPORTS,3861249
COLPAL,3876097
NMDC,3924993
RECLTD,3930881
MANKIND,3937281
TITAGARH,3945985
BAJAJ-AUTO,4267265
BAJAJFINSV,4268801
PATANJALI,4359425
CROMPTON,4376065
NHPC,4454401
OIL,4464129
LTIM,4561409
JSWENERGY,4574465
GODREJPROP,4576001
NESTLEIND,4598529
SBICARD,4600577
JUBLFOOD,4632577
JIOFIN,4644609
PERSISTENT,4701441
RBLBANK,4708097
POWERINDIA,4724993
ICICIPRULI,4774913
NUVAMA,4792577
PNBHOUSING,4840449
VBL,4843777
MANAPPURAM,4879617
LAURUSLABS,4923905
BSE,5013761
DMART,5097729
OBEROIRLTY,5181953
IREDA,5186817
TATATECH,5195009
PRESTIGE,5197313
COALINDIA,5215745
HUDCO,5331201
CDSL,5420545
AUBANK,5436929
ABCAPITAL,5533185
DIXON,5552641
ICICIGI,5573121
SBILIFE,5582849
HFCL,5619457
MAXHEALTH,5728513
MUTHOOTFIN,6054401
PIIND,6191105
LTF,6386689
PGEL,6491649
APLAPOLLO,6599681
INDUSTOWER,7458561
SAMMAANCAP,7712001
MCX,7982337
NBCC,8042241
